"Story","Title","Result","Date","Stability","Duration (s)"
"Registration to the conference","Access the registration page","SUCCESS","2018-07-11T05:57:55.723+05:30[Asia/Calcutta]","0.0","4.54"
"Registration to the conference","Reserve a seat for the talks and attend a workshop (Carole Chaney)","SUCCESS","2018-07-11T05:58:00.298+05:30[Asia/Calcutta]","0.0","15.26"
"Registration to the conference","Reserve a seat for the talks and attend a workshop (James Rocha)","SUCCESS","2018-07-11T05:58:15.572+05:30[Asia/Calcutta]","0.0","15.42"
"Registration to the conference","Reserve a seat for the talks and attend a workshop (Dunlap Valencia)","SUCCESS","2018-07-11T05:58:31.008+05:30[Asia/Calcutta]","0.0","15.24"
"Registration to the conference","Reserve a seat for the talks and attend a workshop (Cristina Chambers)","SUCCESS","2018-07-11T05:58:46.259+05:30[Asia/Calcutta]","0.0","15.78"
"Registration to the conference","Reserve a seat for the talks and attend a workshop (Stevenson Avery)","SUCCESS","2018-07-11T05:59:02.039+05:30[Asia/Calcutta]","0.0","15.64"
"Registration to the conference","Reserve a seat for the talks and attend a workshop (Madelyn Barlow)","SUCCESS","2018-07-11T05:59:17.695+05:30[Asia/Calcutta]","0.0","16.03"
"Registration to the conference","Reserve a seat for the talks and attend a workshop (Kirkland Bartlett)","SUCCESS","2018-07-11T05:59:33.745+05:30[Asia/Calcutta]","0.0","16.04"
"Registration to the conference","Reserve a seat for the talks and attend a workshop (Owens Osborne)","SUCCESS","2018-07-11T05:59:49.796+05:30[Asia/Calcutta]","0.0","15.54"
